dataset_id,handle,siteid,sitename,long,lat,altitude,depositionalenvironment,region,country,harmonisation_region,n_sample_counts,age_min,age_max,n_chron_control,age_type,curve_name,postbomb_curve_name,end_of_interest_period,source_of_data,data_publicity,doi
49175,VILAVERD,27399,Villaverde,-2.36032,38.79895,NA,Marsh,Europe,Spain,Europe,109,-49,9629.5,9,Calendar years BP,intcal20,nh_zone_2,20000,Neotoma,open,10.21233/S4PP-KZ54
49177,SILES,27400,Siles lake,-2.5095,38.38903,NA,Lacustrine,Europe,Spain,Europe,86,216,18941.5,12,Calibrated radiocarbon years BP,intcal20,nh_zone_2,20000,Neotoma,open,10.21233/5GYP-BH87
49179,CANADACR,27401,Cañada de la Cruz,-2.6875,38.0675,NA,Lacustrine,Europe,Spain,Europe,18,129,7730,14,Calibrated radiocarbon years BP,intcal20,nh_zone_2,20000,Neotoma,open,10.21233/3QNS-GY10
49196,KALMANST,27405,Kalmanstjörn Lake,-17.2345,65.6577,NA,Lacustrine,Europe,Iceland,Europe,34,478,2555,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/HT1X-VV78
492,CLEARPND,480,Clear Pond,-78.95401,33.79844,NA,Solution Origin Lake,North America,United States,North America,147,-42,19933,11,Calibrated radiocarbon years BP,intcal20,nh_zone_2,20000,Neotoma,open,10.21233/n3jt55
49200,SABINAR,27406,El Sabinar,-2.11667,38.2,NA,Palustrine,Europe,Spain,Europe,129,1098,6583,9,Calibrated radiocarbon years BP,intcal20,nh_zone_2,20000,Neotoma,open,10.21233/J4QZ-6Z50
49204,GADOR,27407,Sierra de Gádor,-2.905,36.93159,NA,Lacustrine,Europe,Spain,Europe,96,1094,6875,6,Calibrated radiocarbon years BP,intcal20,nh_zone_2,20000,Neotoma,open,10.21233/A1HF-RP41
49222,VERDEOSP,27412,Verdeospesoa mire,-2.86139,43.055,NA,Mire,Europe,Spain,Europe,105,118,19278.5,12,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/SQD8-MB03
49240,ELX,27417,Elx,-0.75278,38.17444,NA,Natural Lake,Europe,Spain,Europe,73,285,10671,5,Calibrated radiocarbon years BP,intcal20,nh_zone_2,20000,Neotoma,open,10.21233/4T0H-2Z10
49242,SALINES,27418,Lake Salines,-0.88889,38.50472,NA,Lacustrine,Europe,Spain,Europe,91,235,14313,8,Calibrated radiocarbon years BP,intcal20,nh_zone_2,20000,Neotoma,open,10.21233/7A7N-K641
49248,APELNHER,27420,Herrenhof,8.93258,53.46002,NA,Palustrine,Europe,Germany,Europe,144,904,7109.5,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/J1ZF-J032
49261,TILLA,27424,Lake Tilla,12.12972,10.39556,NA,Tectonic Origin Lake,Africa,Nigeria,Africa,30,5300,10780,12,Calibrated radiocarbon years BP,mixed_curve20,nh_zone_3,20000,Neotoma,open,10.21233/KJ7A-M315
49265,BSNA,27426,Bassa Nera,0.92444,42.63896,NA,Mire,Europe,Spain,Europe,61,-22,10016.5,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/NSTQ-S484
49276,WICKETT,26495,Wickett Pond,-72.43493,42.54685,NA,Natural Lake,North America,United States,North America,55,-21,2451.5,5,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/9V33-Q626
